,player_name,team_abbreviation,age,player_height_cm,player_weight_lbs,college,country,draft_year,draft_round,draft_number,games_played,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_categorical,season_period
11713,Tyler Herro,MIA,22.0,195.58,195.0,Kentucky,USA,2019.0,1.0,13.0,66,20.7,5.0,4.0,5.3,0.015,0.133,0.278,0.561,0.205,2021-22,2021-22,2021
11714,Wayne Selden,NYK,27.0,193.04,232.0,Kansas,USA,2016.0,,,3,1.7,0.3,0.3,-34.5,0.0,0.053,0.136,0.434,0.091,2021-22,2021-22,2021
11715,Udoka Azubuike,UTA,22.0,213.36,270.0,Kansas,Nigeria,2020.0,1.0,27.0,17,4.7,4.2,0.0,2.0,0.093,0.233,0.143,0.743,0.0,2021-22,2021-22,2021
11716,Wendell Carter Jr.,ORL,23.0,208.28,270.0,Duke,USA,2018.0,1.0,7.0,62,15.0,10.5,2.8,-3.7,0.074,0.26,0.206,0.601,0.15,2021-22,2021-22,2021
11717,Ziaire Williams,MEM,20.0,205.74,185.0,Stanford,USA,2021.0,1.0,10.0,62,8.1,2.1,1.0,4.2,0.017,0.071,0.144,0.5589999999999999,0.062,2021-22,2021-22,2021
11718,Wes Iwundu,ATL,27.0,198.12,195.0,Kansas State,USA,2017.0,2.0,33.0,3,7.3,4.3,0.0,-1.4,0.036,0.143,0.111,0.557,0.0,2021-22,2021-22,2021
11719,Tyler Hall,NYK,25.0,195.58,209.0,Montana State,USA,,,,1,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,2021-22,2021-22,2021
11720,Zylan Cheatham,UTA,26.0,195.58,220.0,Arizona St.,USA,,,,1,0.0,0.0,0.0,-106.8,0.0,0.0,0.25,0.0,0.0,2021-22,2021-22,2021
11721,Zeke Nnaji,DEN,21.0,205.74,240.0,Arizona,USA,2020.0,1.0,22.0,41,6.6,3.6,0.4,-3.2,0.077,0.141,0.146,0.629,0.037,2021-22,2021-22,2021
11722,Zavier Simpson,OKC,25.0,182.88,190.0,Michigan,USA,,,,4,11.0,5.3,7.5,-26.5,0.01,0.114,0.158,0.406,0.25,2021-22,2021-22,2021
11723,Zach LaVine,CHI,27.0,195.58,200.0,UCLA,USA,2014.0,1.0,13.0,67,24.4,4.6,4.5,-0.9,0.01,0.121,0.284,0.605,0.207,2021-22,2021-22,2021
11724,Zach Collins,SAS,24.0,210.82,250.0,Gonzaga,USA,2017.0,1.0,10.0,28,7.8,5.5,2.2,3.1,0.085,0.1969999999999999,0.184,0.594,0.17,2021-22,2021-22,2021
11725,Yves Pons,MEM,23.0,195.58,206.0,Tennessee,France,,,,12,1.1,1.0,0.1,-21.3,0.055,0.0819999999999999,0.096,0.385,0.024,2021-22,2021-22,2021
11726,Yuta Watanabe,TOR,27.0,205.74,215.0,George Washington,Japan,,,,38,4.3,2.4,0.6,-3.9,0.035,0.158,0.161,0.524,0.067,2021-22,2021-22,2021
11727,Xavier Tillman Sr.,MEM,23.0,203.2,245.0,Michigan State,USA,2020.0,2.0,35.0,53,4.8,3.0,1.2,-1.4,0.084,0.138,0.1639999999999999,0.51,0.127,2021-22,2021-22,2021
11728,Xavier Sneed,UTA,24.0,195.58,215.0,Kansas State,USA,,,,9,0.6,0.7,0.1,-3.8,0.0409999999999999,0.111,0.109,0.25,0.036,2021-22,2021-22,2021
11729,Xavier Moon,LAC,27.0,187.96,165.0,Morehead State,USA,,,,10,5.8,1.4,2.4,1.4,0.0139999999999999,0.072,0.177,0.545,0.245,2021-22,2021-22,2021
11730,Willy Hernangomez,NOP,28.0,210.82,250.0,,Spain,2015.0,2.0,35.0,50,9.1,6.8,1.3,-1.6,0.153,0.24,0.211,0.5820000000000001,0.113,2021-22,2021-22,2021
11731,Willie Cauley-Stein,PHI,28.0,213.36,240.0,Kentucky,USA,2015.0,1.0,6.0,20,1.7,2.0,0.5,7.2,0.064,0.144,0.099,0.474,0.074,2021-22,2021-22,2021
11732,Will Barton,DEN,31.0,195.58,181.0,Memphis,USA,2012.0,2.0,40.0,71,14.7,4.8,3.9,2.0,0.02,0.128,0.205,0.5479999999999999,0.171,2021-22,2021-22,2021
11733,Wesley Matthews,MIL,35.0,193.04,220.0,Marquette,USA,,,,49,5.1,1.9,0.7,6.7,0.0289999999999999,0.0559999999999999,0.104,0.536,0.047,2021-22,2021-22,2021
11734,Wenyen Gabriel,LAL,25.0,205.74,205.0,Kentucky,South Sudan,,,,26,5.4,3.7,0.5,6.7,0.105,0.151,0.165,0.5489999999999999,0.053,2021-22,2021-22,2021
11735,Tyler Cook,CHI,24.0,203.2,255.0,Iowa,USA,,,,20,3.4,2.7,0.2,-7.5,0.08,0.2,0.127,0.643,0.021,2021-22,2021-22,2021
11736,Darius Bazley,OKC,22.0,203.2,208.0,,USA,2019.0,1.0,23.0,69,10.8,6.3,1.4,-11.3,0.034,0.176,0.18,0.515,0.078,2021-22,2021-22,2021
11737,Troy Brown Jr.,CHI,22.0,198.12,215.0,Oregon,USA,2018.0,1.0,15.0,66,4.3,3.1,1.0,-2.3,0.038,0.154,0.118,0.525,0.0819999999999999,2021-22,2021-22,2021
11738,Evan Fournier,NYK,29.0,198.12,205.0,,France,2012.0,1.0,20.0,80,14.1,2.6,2.1,-2.7,0.013,0.073,0.201,0.5539999999999999,0.114,2021-22,2021-22,2021
11739,Evan Mobley,CLE,21.0,210.82,215.0,Southern California,USA,2021.0,1.0,3.0,69,15.0,8.3,2.5,1.7,0.063,0.174,0.201,0.5489999999999999,0.1169999999999999,2021-22,2021-22,2021
11740,Facundo Campazzo,DEN,31.0,177.8,195.0,,Argentina,,,,65,5.1,1.8,3.4,-8.6,0.019,0.08,0.143,0.503,0.276,2021-22,2021-22,2021
11741,Feron Hunt,NYK,22.0,203.2,195.0,Southern Methodist,USA,,,,2,0.0,0.5,0.5,-10.1,0.091,0.0,0.136,0.0,0.2,2021-22,2021-22,2021
11742,Frank Jackson,DET,24.0,190.5,205.0,Duke,USA,2017.0,2.0,31.0,53,10.6,1.6,1.0,-6.8,0.015,0.0579999999999999,0.203,0.53,0.077,2021-22,2021-22,2021
11743,Frank Kaminsky,PHX,29.0,213.36,240.0,Wisconsin,USA,2015.0,1.0,9.0,9,10.6,4.6,1.4,9.6,0.06,0.144,0.185,0.635,0.105,2021-22,2021-22,2021
11744,Frank Ntilikina,DAL,23.0,193.04,200.0,,France,2017.0,1.0,8.0,58,4.1,1.4,1.2,4.3,0.016,0.094,0.165,0.513,0.149,2021-22,2021-22,2021
11745,Franz Wagner,ORL,20.0,208.28,220.0,Michigan,Germany,2021.0,1.0,8.0,79,15.2,4.5,2.9,-4.9,0.033,0.106,0.208,0.5589999999999999,0.151,2021-22,2021-22,2021
11746,Fred VanVleet,TOR,28.0,185.42,197.0,Wichita State,USA,,,,65,20.3,4.4,6.7,3.7,0.016,0.1,0.233,0.552,0.266,2021-22,2021-22,2021
11747,Freddie Gillespie,ORL,25.0,205.74,245.0,Baylor,USA,,,,9,2.3,4.0,0.6,-13.6,0.099,0.183,0.109,0.419,0.061,2021-22,2021-22,2021
11748,Furkan Korkmaz,PHI,24.0,200.66,202.0,,Turkey,2016.0,1.0,26.0,67,7.6,2.6,1.9,0.8,0.015,0.104,0.17,0.502,0.129,2021-22,2021-22,2021
11749,Gabe Vincent,MIA,26.0,190.5,200.0,California-Santa Barbara,USA,,,,68,8.7,1.9,3.1,3.1,0.0139999999999999,0.064,0.174,0.551,0.198,2021-22,2021-22,2021
11750,Gabe York,IND,28.0,190.5,190.0,Arizona,USA,,,,2,4.0,1.0,2.0,-14.6,0.0,0.143,0.179,0.435,0.222,2021-22,2021-22,2021
11751,Gabriel Deck,OKC,27.0,198.12,231.0,,Argentina,,,,7,2.6,0.9,0.7,-13.6,0.017,0.077,0.119,0.643,0.147,2021-22,2021-22,2021
11752,Gabriel Lundberg,PHX,27.0,193.04,203.0,,Denmark,,,,4,3.3,1.8,2.8,18.3,0.04,0.119,0.191,0.342,0.268,2021-22,2021-22,2021
11753,Garrett Temple,NOP,36.0,195.58,195.0,Louisiana State,USA,,,,59,5.2,2.4,1.3,-13.7,0.024,0.106,0.136,0.494,0.102,2021-22,2021-22,2021
11754,Garrison Mathews,HOU,25.0,195.58,215.0,Lipscomb,USA,,,,65,10.0,2.9,1.0,-5.9,0.018,0.093,0.1369999999999999,0.602,0.052,2021-22,2021-22,2021
11755,Gorgui Dieng,ATL,32.0,208.28,248.0,Louisville,Senegal,2013.0,1.0,21.0,44,3.5,2.8,0.8,-9.2,0.083,0.238,0.1639999999999999,0.624,0.155,2021-22,2021-22,2021
11756,Gordon Hayward,CHA,32.0,200.66,225.0,Butler,USA,2010.0,1.0,9.0,49,15.9,4.6,3.6,-0.4,0.022,0.114,0.2019999999999999,0.57,0.16,2021-22,2021-22,2021
11757,Ty Jerome,OKC,24.0,195.58,195.0,Virginia,USA,2019.0,1.0,24.0,48,7.1,1.6,2.3,-1.5,0.021,0.072,0.205,0.488,0.2289999999999999,2021-22,2021-22,2021
11758,Goran Dragic,BKN,36.0,190.5,190.0,,Slovenia,2008.0,2.0,45.0,21,7.5,3.1,4.1,0.4,0.027,0.104,0.166,0.474,0.2269999999999999,2021-22,2021-22,2021
11759,Goga Bitadze,IND,22.0,213.36,250.0,,Georgia,2019.0,1.0,18.0,50,7.0,3.5,1.1,-2.4,0.106,0.139,0.191,0.595,0.11,2021-22,2021-22,2021
11760,Giannis Antetokounmpo,MIL,27.0,210.82,242.0,,Greece,2013.0,1.0,15.0,67,29.9,11.6,5.8,8.0,0.06,0.267,0.34,0.633,0.304,2021-22,2021-22,2021
11761,Eugene Omoruyi,DAL,25.0,198.12,235.0,Oregon,Nigeria,,,,4,1.8,1.8,0.5,11.9,0.111,0.278,0.156,0.518,0.1669999999999999,2021-22,2021-22,2021
11762,Georgios Kalaitzakis,OKC,23.0,200.66,192.0,,Greece,2021.0,2.0,60.0,13,6.6,1.6,0.9,-29.3,0.026,0.074,0.2,0.536,0.09,2021-22,2021-22,2021
11763,George King,DAL,28.0,198.12,220.0,Colorado,USA,2018.0,2.0,59.0,4,0.3,1.3,0.0,-62.2,0.0,0.25,0.159,0.085,0.0,2021-22,2021-22,2021
11764,George Hill,MIL,36.0,193.04,188.0,Indiana-Purdue Indianapolis,USA,2008.0,1.0,26.0,54,6.2,2.9,2.2,11.7,0.0289999999999999,0.084,0.115,0.552,0.124,2021-22,2021-22,2021
